"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 24 04:49:34 BDT 2023","Tue Oct 24 04:49:40 BDT 2023","6129","All Test Suite","F:/SQA/Swag Labs_Login/src/test/java/test_cases","test_cases.Login_Test","test_cases.Login_Test","invalidloginAuth","invalidloginAuth",""
"passed","Tue Oct 24 04:49:59 BDT 2023","Tue Oct 24 04:50:10 BDT 2023","11137","All Test Suite","F:/SQA/Swag Labs_Login/src/test/java/test_cases","test_cases.Login_Test","test_cases.Login_Test","validloginAuth","validloginAuth",""
"passed","Tue Oct 24 04:48:51 BDT 2023","Tue Oct 24 04:49:15 BDT 2023","24117","All Test Suite","F:/SQA/Swag Labs_Login/src/test/java/test_cases","test_cases.Home_Test","test_cases.Home_Test","cartTest","cartTest",""
"passed","Tue Oct 24 04:49:40 BDT 2023","Tue Oct 24 04:49:47 BDT 2023","6135","All Test Suite","F:/SQA/Swag Labs_Login/src/test/java/test_cases","test_cases.Login_Test","test_cases.Login_Test","invalidloginAuth","invalidloginAuth",""
"passed","Tue Oct 24 04:49:53 BDT 2023","Tue Oct 24 04:49:59 BDT 2023","6124","All Test Suite","F:/SQA/Swag Labs_Login/src/test/java/test_cases","test_cases.Login_Test","test_cases.Login_Test","validloginAuth","validloginAuth",""
"passed","Tue Oct 24 04:49:47 BDT 2023","Tue Oct 24 04:49:53 BDT 2023","6130","All Test Suite","F:/SQA/Swag Labs_Login/src/test/java/test_cases","test_cases.Login_Test","test_cases.Login_Test","validloginAuth","validloginAuth",""
"passed","Tue Oct 24 04:49:15 BDT 2023","Tue Oct 24 04:49:22 BDT 2023","6122","All Test Suite","F:/SQA/Swag Labs_Login/src/test/java/test_cases","test_cases.Login_Test","test_cases.Login_Test","invalidloginAuth","invalidloginAuth",""
"passed","Tue Oct 24 04:49:22 BDT 2023","Tue Oct 24 04:49:28 BDT 2023","6117","All Test Suite","F:/SQA/Swag Labs_Login/src/test/java/test_cases","test_cases.Login_Test","test_cases.Login_Test","invalidloginAuth","invalidloginAuth",""
"passed","Tue Oct 24 04:49:28 BDT 2023","Tue Oct 24 04:49:34 BDT 2023","6121","All Test Suite","F:/SQA/Swag Labs_Login/src/test/java/test_cases","test_cases.Login_Test","test_cases.Login_Test","invalidloginAuth","invalidloginAuth",""
